word,general,earn,acq,money,grain,crude,trade,interest,ship,wheat,corn
hair-NN,4,0,0,0,0,4,0,0,0,0,0
redeemable-JJ,6,2,2,0,0,2,0,0,0,0,0
harder-JJR,7,0,2,0,0,1,2,0,2,0,0
bales-NNS,8,0,0,0,8,0,0,0,0,4,8
claims-NNS,33,13,5,0,2,2,4,0,7,1,0
relations-NNS,55,0,7,6,5,4,38,0,3,2,2
lacking-VBG,4,0,0,2,1,0,1,1,0,0,1
unidentified-VBN,8,1,6,0,0,1,0,0,0,0,0
-NNP,58,24,8,2,6,6,7,5,2,5,3
barwon-NN,11,0,11,0,0,0,0,0,0,0,0
fluctuate-VB,7,1,0,3,0,3,0,1,0,0,0
petrochemical-JJ,13,5,3,0,0,4,0,0,2,0,0
roy-NN,4,1,0,0,0,1,2,0,0,0,0
tribunal-JJ,5,0,0,0,4,0,0,0,1,0,4
marion-NN,6,4,1,0,0,1,0,0,0,0,0
shell-NN,62,21,11,0,0,36,0,0,9,0,0
criticism-NN,12,1,3,1,3,0,4,1,0,2,2
inc-VBP,172,50,108,3,1,5,2,2,4,0,0
four-VB,4,4,0,0,0,0,0,0,0,0,0
importers-NNS,16,0,1,5,8,0,1,0,1,1,7
counsel-NN,11,1,10,0,0,0,0,0,0,0,0
belt-VBD,6,0,0,0,6,0,0,0,0,4,4
rrt-NN,5,0,0,0,0,5,0,0,0,0,0
pioneers-NNS,8,0,8,0,0,0,0,0,0,0,0
underway-RB,7,2,1,1,1,2,0,0,0,1,0
growing-VBG,118,12,20,21,17,15,34,6,0,6,8
analysts-NNS,612,148,207,87,40,93,49,73,4,13,27
lost-JJS,4,1,0,0,0,2,1,0,0,0,0
reagan-NN,150,0,8,13,34,20,75,5,5,22,10
sized-VBD,4,0,1,1,1,1,0,0,1,0,0
ef-NN,37,0,33,0,2,1,0,1,0,1,1
flows-VBZ,8,2,3,2,0,1,0,1,0,0,0
cushion-NN,6,0,0,5,0,1,0,4,0,0,0
help-VBP,4,1,0,1,0,0,2,0,0,0,0
bread-NN,8,0,0,0,8,0,0,0,1,6,4
area-VBP,4,1,1,0,1,1,0,0,0,0,1
south-VB,13,0,1,0,0,5,7,0,10,0,0
tamura-NN,12,0,2,2,0,0,8,0,0,0,0
predict-VBP,5,0,0,4,0,1,0,2,0,0,0
kohlberg-NN,5,3,4,0,0,0,0,0,0,0,0
clorox-NN,4,0,4,0,0,0,0,0,0,0,0
frequently-RB,8,2,2,1,1,1,2,0,0,0,0
jardine-NN,31,26,1,0,0,0,4,0,0,0,0
sunter-NN,10,0,10,0,0,0,0,0,0,0,0
telephone-NN,85,30,41,4,1,4,1,1,3,1,1
decoupling-VBG,6,0,0,0,6,0,0,0,0,6,4
milling-VBG,13,3,10,0,4,0,0,0,0,0,4
rice-NN,92,0,0,3,86,0,5,0,3,37,20
and-JJ,6,1,1,0,0,1,1,1,1,0,0
demonstrated-VBN,5,0,0,0,0,1,2,2,0,0,0
fought-VBD,5,1,2,0,1,0,0,1,1,1,0
filing-NN,132,17,115,0,0,0,1,0,0,0,0
charts-NNS,4,0,1,2,0,1,0,1,0,0,0
thus-JJ,5,1,0,2,0,1,3,1,0,0,0
helped-VBD,26,7,2,9,4,1,0,3,0,1,2
helped-VBN,33,11,4,4,5,5,2,2,1,1,2
berliner-NN,5,4,0,1,0,0,0,1,0,0,0
authorize-VB,5,2,1,1,1,0,0,1,0,1,0
charter-NN,11,1,10,0,0,0,0,0,3,0,0
cnooc-NN,4,0,0,0,0,4,0,0,0,0,0
reorganisation-NN,10,8,1,0,1,0,0,0,0,0,0
southland-NN,6,0,3,0,0,6,0,0,0,0,0
mathematical-JJ,7,0,7,0,0,0,0,0,0,0,0
exchangeable-JJ,19,9,9,1,0,0,0,1,0,0,0
two-thirds-NNS,22,2,6,1,4,10,0,1,0,4,3
chicago-NNP,11,0,2,2,4,2,1,0,0,0,3
dim-NN,4,0,3,0,1,0,0,0,0,0,0
pan-NN,8,7,1,0,0,0,0,0,0,0,0
accept-VB,69,0,32,2,5,21,8,2,8,1,2
collapse-VB,4,0,0,2,0,1,3,1,0,0,0
sloane-NN,16,0,2,11,0,0,0,3,0,0,0
co-VB,8,3,4,0,0,0,0,1,0,0,0
second-JJ,287,128,49,18,11,36,23,30,7,3,4
part-NN,346,49,155,30,28,39,53,14,14,12,11
gallon-NN,7,3,0,0,1,3,0,0,0,0,1
shoe-NN,13,2,9,0,0,0,2,0,0,0,0
partner-NN,42,6,26,3,0,4,4,0,1,0,0
bay-VBP,7,4,7,0,0,0,0,0,0,0,0
strain-NN,8,1,0,1,1,2,2,1,0,1,0
marks-VBZ,4,0,0,4,0,0,0,0,0,0,0
worth-NN,77,7,34,19,8,5,9,8,0,6,4
worldwide-NN,48,8,16,4,1,15,4,1,2,0,1
bpi-NN,8,0,8,0,0,0,0,0,0,0,0
sponsor-NN,4,0,0,0,2,1,1,0,0,1,0
rows-VBZ,5,0,5,0,0,0,0,0,0,0,0
soaring-VBG,5,0,0,3,1,0,3,0,0,0,1
amounting-VBG,12,6,3,2,0,0,1,0,0,0,0
ordinary-JJ,64,20,36,5,0,1,1,4,2,0,0
fewer-JJR,10,2,1,2,0,1,3,0,2,0,0
forma-NN,6,4,2,0,0,0,0,0,0,0,0
stable-NN,16,1,2,6,1,5,2,3,0,0,0
yielding-NN,6,1,0,0,5,0,0,0,0,1,4
kansas-VBZ,4,1,1,0,2,0,0,0,0,2,1
printing-VBG,8,3,5,0,0,0,0,0,0,0,0
spin-off-NN,6,6,0,0,0,0,0,0,0,0,0
spinoff-NN,12,0,12,0,0,0,0,0,0,0,0
enhancement-NN,52,1,1,0,47,0,4,0,2,37,10
leiner-NN,5,0,0,0,0,3,0,5,0,0,0
subject-NN,53,13,27,7,3,1,3,1,1,2,1
piedmonts-NNS,12,0,12,0,0,0,0,0,0,0,0
write-offs-NNS,7,4,0,2,0,0,1,0,0,0,0
exclude-VBP,56,52,0,0,2,3,4,0,0,2,0
sciences-NNS,10,1,9,0,0,0,0,0,0,0,0
gathered-VBN,4,0,0,2,0,1,1,0,0,0,0
seriously-RB,23,0,4,3,8,1,2,2,4,7,2
expected-VBD,48,15,3,10,0,10,9,7,2,0,0
important-JJ,78,9,10,14,8,15,27,4,5,3,4
up-JJ,4,1,1,0,0,2,0,0,0,0,0
embassy-NN,9,0,2,0,3,1,3,0,0,3,1
consecutive-JJ,11,10,0,0,0,0,1,0,0,0,0
downstream-NN,9,5,2,0,0,7,0,0,0,0,0
reaches-NNS,4,1,1,0,2,1,0,0,1,2,0
won-NN,25,8,0,7,0,0,13,0,1,0,0
repeal-NN,12,2,3,0,0,5,0,0,2,0,0
allied-VBD,14,3,10,0,0,0,0,1,0,0,0
small-JJ,119,23,27,25,13,21,4,11,11,7,6
definitive-JJ,82,4,78,0,1,1,0,0,0,1,1
testing-NN,10,5,0,2,0,1,2,1,0,0,0
bolstered-VBN,4,2,0,1,1,0,0,1,0,1,0
typical-JJ,5,0,3,0,1,1,0,0,0,1,1
chinas-NNS,31,2,0,0,9,0,18,0,1,4,2
surveyed-VBN,7,0,0,2,1,2,0,2,0,0,1
role-NN,67,5,13,17,3,10,17,8,2,3,0
use-VB,65,9,24,7,11,9,6,5,7,5,4
certs-NNS,14,0,0,0,14,0,0,0,0,0,10
mhis-NNS,5,0,1,0,0,0,0,0,4,0,0
removing-VBG,4,2,0,1,0,0,1,0,0,0,0
akzoas-NNS,4,2,2,0,0,0,0,0,0,0,0
really-RB,40,3,9,13,4,1,10,9,1,2,2
gravity-NN,6,0,0,0,1,5,0,0,0,0,1
imposed-VBD,11,0,0,3,2,1,6,1,0,2,1
smcs-NNS,4,0,4,0,0,0,0,0,0,0,0
cease-VB,4,1,2,0,0,1,0,0,0,0,0
passenger-NN,17,8,4,0,0,0,4,0,1,0,0
component-NN,7,3,1,0,0,0,1,1,1,0,0
million-CD,33,11,2,3,2,4,7,2,2,1,2
mountain-NN,6,0,6,0,0,0,0,0,0,0,0
flood-NN,6,0,1,2,2,0,0,2,0,1,1
other-JJ,990,179,331,138,94,106,125,62,50,40,37
daniels-NNS,4,0,0,0,4,0,0,0,0,0,2
dusseldorf-NN,4,1,3,0,0,0,0,0,0,0,0
reaction-NN,26,2,2,11,2,3,1,9,0,1,0
rd-NN,6,1,1,0,0,5,0,0,0,0,0
live-JJ,12,0,0,0,5,2,4,0,1,1,1
jan-NN,61,47,8,1,1,4,0,1,1,1,0
diplomatic-JJ,6,0,2,0,0,2,2,0,1,0,0
actions-NNS,48,5,19,5,6,5,7,3,4,0,1
ecuadorean-JJ,13,0,0,0,0,13,0,0,0,0,0
australian-JJ,90,17,15,13,21,14,12,2,1,21,0
rationalisation-NN,8,5,1,0,0,1,0,0,2,0,0
jurisdiction-NN,5,0,2,0,1,0,2,0,0,1,1
canada-VBP,7,0,1,0,1,2,3,0,0,0,1
years-NNS,651,175,90,44,123,87,111,31,36,38,59
reed-VBN,8,0,8,0,0,0,0,0,0,0,0
reed-VBD,8,0,7,0,0,1,0,0,1,0,0
visa-NN,11,1,6,0,0,0,0,4,0,0,0
drilled-VBN,11,1,0,0,0,11,0,0,0,0,0
iran-NN,45,0,1,0,3,23,1,0,36,3,0
mark-NN,156,21,43,67,4,1,14,21,0,0,3
midamerica-NN,4,0,0,0,4,0,0,0,0,0,0
said-VBD,14093,2764,4645,1882,1353,1630,1602,942,603,658,547
said-VBN,787,196,310,65,56,97,60,29,30,26,17
interstate-JJ,29,9,20,0,0,0,0,0,0,0,0
antonio-NN,9,2,6,0,0,1,0,0,0,0,0
receives-VBZ,6,1,3,0,2,0,0,0,0,1,1
remaining-VBG,104,25,57,2,7,10,5,2,6,6,2
storehouse-NN,4,0,0,0,0,0,0,4,0,0,0
pick-NN,4,0,0,1,0,0,4,0,0,0,0
the--NONE-,14,2,2,3,1,1,5,0,0,1,1
careful-JJ,16,1,6,4,2,2,2,0,0,0,0
starting-NN,4,0,2,0,2,0,0,0,0,2,1
contrast-NN,13,2,0,5,3,0,2,1,0,1,2
rexnord-NN,18,0,18,0,0,0,0,0,0,0,0
paradise-NN,4,3,1,0,0,0,0,0,0,0,0
reply-RB,6,0,2,0,1,2,2,0,0,0,0
tanzania-NN,4,0,0,0,4,0,0,0,1,1,4
hughes-VBZ,9,0,8,0,0,1,0,0,0,0,0
weak-JJ,54,15,2,12,2,12,12,3,1,0,2
equivalents-NNS,5,2,2,1,0,0,0,0,0,0,0
meet-VBP,13,0,1,5,2,1,2,4,0,0,0
today-NN,771,77,171,232,49,113,56,139,73,19,20
expect-NN,22,8,4,2,0,6,3,1,2,0,0
valuing-VBG,10,2,8,0,0,1,0,0,0,0,0
attracted-VBN,12,0,4,4,2,0,1,3,0,1,0
export-VB,28,0,2,0,11,6,9,0,0,7,6
ones-NNS,4,0,1,1,1,0,1,0,0,1,0
america-NN,108,26,59,0,4,7,8,1,5,2,2
figures-NNS,313,105,3,33,68,34,85,26,13,25,29
counterparty-NN,5,0,0,5,0,0,0,5,0,0,0
giving-NN,13,9,2,0,0,0,1,0,1,0,0
brooks-NNS,9,0,9,0,0,0,0,0,0,0,0
includes-VBZ,416,345,56,1,4,4,4,1,3,2,0
findings-NNS,9,2,2,0,4,0,1,0,0,4,1
pressed-VBN,5,0,0,0,0,3,2,0,0,0,0
bushels-NNS,55,0,0,0,52,1,2,0,0,33,45
zero-CD,7,0,1,2,2,0,1,1,0,2,1
afford-VB,4,2,1,0,1,1,0,0,0,0,0
beneath-NN,4,0,0,3,0,0,0,2,0,0,0
ahmed-VBD,6,0,0,2,0,4,0,0,0,0,0
incs-NNS,62,8,51,0,0,3,0,0,1,0,0
rules-NNS,64,6,10,11,6,6,28,5,0,3,1
licence-NN,10,0,0,2,2,4,1,0,1,0,0
package-NN,79,3,11,26,13,10,11,10,5,1,1
multinational-JJ,4,1,2,0,0,0,1,0,0,0,0
britain-VB,7,1,0,1,0,1,4,1,0,0,0
dot-NN,34,0,30,0,0,0,0,0,4,0,0
deny-VB,4,0,1,3,0,0,1,0,0,0,0
cool-NN,5,0,0,2,3,0,0,0,0,2,1
extreme-NN,4,0,0,4,0,0,0,0,0,0,0
investigating-VBG,6,2,4,0,0,0,0,0,0,0,0
food-NN,130,28,40,6,45,3,9,0,8,17,8
mainly-RB,88,46,10,9,5,10,13,2,3,3,1
nation-NN,27,1,1,3,1,13,9,0,0,0,1
seas-NNS,5,0,0,0,1,4,0,0,3,1,0
prospecting-VBG,5,0,0,0,0,5,0,0,2,0,0
prospects-NN,7,1,2,2,0,2,2,1,0,0,0
chancellor-NN,35,0,0,21,0,3,5,20,0,0,0
citing-VBG,20,3,2,1,5,7,1,1,0,3,2
ten-CD,7,0,3,0,2,1,0,0,1,0,1
availability-NN,7,0,0,2,2,2,0,0,1,0,2
architectural-JJ,4,0,3,0,1,0,0,0,0,0,0
exporting-NN,10,0,0,3,4,0,4,0,0,3,1
pickens-NNS,18,1,9,2,0,6,0,0,0,0,0
satoshi-NN,22,0,0,18,0,0,2,5,0,0,0
hambrecht-NN,4,0,4,0,0,0,0,0,0,0,0
speculation-NN,70,2,40,16,9,3,0,4,0,8,3
aircal-JJ,5,0,5,0,0,0,0,0,0,0,0
license-NN,15,2,9,2,0,2,0,0,0,0,0
considers-NNS,8,0,2,1,0,0,5,0,0,0,0
prudential-JJ,15,9,2,0,1,4,0,2,1,0,1
lagging-VBG,4,0,1,2,0,1,1,0,0,0,0
reagans-NNS,19,0,0,4,0,3,11,0,1,0,0
freely-RB,4,0,0,2,0,0,2,0,0,0,0
kansas-NNS,30,1,12,0,12,3,0,0,4,7,4
after-IN,970,283,180,161,34,145,122,83,71,17,12
severance-NN,16,4,7,0,0,5,0,0,0,0,0
finlands-NNS,5,1,2,2,0,0,0,0,0,0,0
allocations-NNS,7,1,1,2,1,2,0,1,0,0,1
agent-NN,19,1,5,1,7,0,2,0,9,6,1
hearing-NN,35,1,12,1,7,5,9,0,2,4,4
specifically-RB,17,3,5,7,0,2,0,0,0,0,0
blocked-VBD,6,0,5,0,0,1,1,0,0,0,0
offset-NN,7,3,0,0,2,2,0,0,0,1,1
blocked-VBN,10,0,5,2,1,0,3,0,0,0,0
cellular-JJ,6,4,2,0,0,0,0,0,0,0,0
siemens-NNS,29,3,26,0,0,0,0,0,0,0,0
syrup-NN,5,0,0,0,5,0,0,0,0,0,5
rio-NN,28,0,5,0,1,6,1,0,21,0,0
parties-NNS,51,1,32,6,1,5,9,3,2,1,0
itel-NN,7,1,6,0,0,0,0,0,0,0,0
sought-VBD,20,1,8,5,3,1,3,0,1,3,0
concert-NN,10,0,6,4,0,0,0,0,0,0,0
alcan-NN,5,0,5,0,0,0,0,0,0,0,0
personal-JJ,40,6,12,7,0,4,11,0,0,0,0
declare-VB,10,7,2,0,0,1,0,0,0,0,0
same-NN,4,0,0,0,2,0,1,0,1,2,1
hammer-NN,6,0,5,0,0,0,0,0,1,0,0
chemical-JJ,62,18,31,3,1,3,2,7,1,0,1
located-VBD,6,1,5,0,0,0,0,0,0,0,0
inclined-VBN,6,0,0,3,0,2,1,0,0,0,0
located-VBN,16,1,9,2,0,4,0,0,0,0,0
southeastern-NN,8,1,6,0,1,0,0,0,0,0,1
massachusetts-NNS,8,3,5,0,0,0,0,0,0,0,0
borrowers-NNS,20,5,2,6,0,3,0,5,0,0,0
concept-NN,8,1,1,4,2,0,0,2,0,1,0
brian-NN,14,2,1,0,3,2,5,3,0,1,2
envisaged-VBD,4,0,0,3,0,0,0,0,1,0,0
raises-VBZ,4,0,2,1,0,1,0,0,0,0,0
likely-RB,32,10,4,2,12,1,2,3,1,7,5
maintaining-VBG,8,1,0,0,4,3,0,1,1,2,1
maintenance-NN,27,4,12,0,1,9,0,1,1,0,0
consists-NNS,6,2,4,0,0,0,0,0,0,0,0
hardship-NN,7,0,1,1,1,4,0,0,0,1,0
discussion-NN,24,0,7,5,4,3,5,0,0,1,0
initiative-NN,24,0,0,1,14,0,8,0,1,11,1
permit-NN,6,2,1,0,2,1,0,0,0,1,0
corp-JJ,5,0,4,0,0,1,0,0,0,0,0
obtained-VBD,10,0,5,0,4,0,0,0,2,0,3
obtained-VBN,10,1,4,0,3,1,0,0,1,0,1
hospitals-NNS,5,0,5,0,0,0,0,0,0,0,0
volume-NN,112,37,7,12,21,12,21,9,2,3,16
licenses-NNS,16,0,10,2,1,2,1,0,0,0,1
farms-NNS,10,0,1,0,8,0,1,0,0,6,2
expire-NN,6,1,2,2,1,0,0,2,0,1,0
getting-VBG,26,4,5,5,3,3,7,0,1,1,1
backlog-NN,35,26,2,0,0,0,0,0,7,0,0
stearns-NNS,10,3,8,1,0,0,0,0,0,0,0
types-NNS,10,0,2,5,2,0,0,2,0,1,2
ameritrust-JJ,6,0,6,0,0,0,0,0,0,0,0
husky-NN,8,0,8,0,0,0,0,0,0,0,0
causing-VBG,22,0,5,4,8,0,3,1,3,4,3
thought-VBD,32,1,4,11,7,5,2,3,2,4,5
thought-VBN,8,0,2,4,0,0,0,1,2,0,0
exceeds-NNS,4,1,3,0,0,0,0,0,0,0,0
relations-NN,5,0,0,0,0,0,5,0,0,0,0
cathay-NN,21,21,0,0,0,0,0,0,0,0,0
elections-NNS,12,0,0,5,0,3,3,1,1,0,0
might-MD,255,23,104,42,33,24,28,17,9,16,15
escort-VB,12,0,0,0,0,10,0,0,12,0,0
represents-NNS,20,6,5,3,1,5,1,0,3,0,0
mt-NN,27,1,0,0,8,1,0,0,25,0,0
tesco-NN,11,3,8,0,0,0,0,0,0,0,0
implement-VB,14,0,1,2,2,2,5,0,3,1,0
mayo-NN,7,7,0,0,0,0,0,0,0,0,0
aspects-NNS,13,2,5,1,2,1,2,0,0,2,0
locally-RB,7,1,3,1,2,0,0,0,0,2,0
proceedings-NNS,17,4,6,0,5,1,1,0,0,0,3
magna-NN,4,1,3,0,0,0,0,0,0,0,0
top-NN,4,1,0,0,0,2,0,2,0,0,0
abiding-VBG,6,0,1,1,0,3,1,0,0,0,0
foods-NNS,28,17,12,0,1,0,0,0,0,1,1
slow-VB,12,1,1,7,1,0,3,2,0,0,1
the-JJ,145,16,18,36,16,17,33,18,10,5,6
peanuts-NNS,4,0,0,0,2,0,2,0,0,1,1
groups-NNS,123,26,58,2,18,13,9,1,3,10,8
restraint-NN,12,1,2,2,0,4,5,0,2,0,0
g-NUMBER-NNP,13,0,0,12,0,0,1,1,0,0,0
canal-JJ,25,1,0,0,3,0,0,0,24,0,0
optional-JJ,6,0,0,0,5,0,0,0,2,4,2
cra-NN,9,9,0,0,0,0,0,0,0,0,0
earn-VB,33,20,6,1,1,0,4,0,3,0,1
iraq-NN,34,1,0,0,2,29,0,0,15,2,0
mth-NN,4,4,0,0,0,0,0,0,0,0,0
morning-NN,136,9,24,67,10,9,7,36,15,6,4
come-VBP,18,5,0,0,3,1,4,3,3,1,1
melamed-VBN,4,0,0,4,0,0,0,0,0,0,0
renewal-JJ,6,1,1,0,3,1,1,0,0,0,0
atmosphere-NN,5,0,1,1,1,0,2,0,0,1,0
ruling-NN,54,2,16,7,16,2,7,2,4,0,14
come-VBN,35,4,5,11,2,6,9,5,0,1,0
tell-VB,17,1,1,3,6,0,4,2,1,2,4
contel-NN,5,4,1,0,0,0,0,0,0,0,0
liquidating-VBG,8,8,0,0,0,0,0,0,0,0,0
margin-NN,20,7,5,3,1,0,0,4,0,1,0
lane-NN,7,0,3,0,0,0,4,0,0,0,0
subscription-NN,4,2,1,1,0,0,0,1,0,0,0
petro-canada-NN,7,0,2,0,0,5,0,0,0,0,0
proportionate-NN,4,3,1,0,0,0,0,0,0,0,0
societe-NN,4,1,3,0,0,0,0,0,0,0,0
identified-VBN,35,4,6,6,9,4,7,2,5,6,3
patterns-NNS,6,1,0,0,2,2,1,0,0,2,0
outstanding-VBG,7,0,5,1,0,0,0,2,0,0,0
seminar-NN,6,1,0,1,0,4,0,1,0,0,0
stabilized-VBN,7,0,0,4,0,0,0,5,0,0,0
suggestion-NN,10,1,2,2,1,1,2,2,0,1,0
gross-NNS,18,6,1,1,0,0,3,0,8,0,0
multilateral-JJ,19,0,0,2,2,0,13,3,0,0,2
national-VBP,5,2,1,0,0,0,0,2,0,0,0
willing-JJ,43,1,21,7,4,2,7,2,0,4,2
privatised-VBN,6,2,4,0,0,0,0,0,0,0,0
magma-NN,7,7,0,0,0,0,0,0,0,0,0
controls-VBZ,19,2,15,0,1,1,0,0,0,0,1
excludes-VBZ,123,122,0,0,1,0,0,0,0,0,1
francaise-NN,12,1,5,0,0,6,0,0,0,0,0
developed-VBN,19,2,6,3,1,2,5,3,0,1,0
union-NN,342,19,79,13,116,43,32,2,84,75,48
developed-VBD,17,4,2,1,2,2,6,1,0,2,0
cents-NNS,152,93,11,19,19,7,5,3,2,3,15
airport-NN,21,1,8,1,0,1,8,0,2,0,0
kravis-NNS,5,3,4,0,0,0,0,0,0,0,0
brusca-NN,12,0,0,5,0,0,0,10,0,0,0
it-PRP,208,20,75,36,24,18,34,15,5,12,7
sheldahl-NN,4,1,3,0,0,0,0,0,0,0,0
chirac-NN,11,0,1,1,1,0,9,0,0,0,0
us-NNP,4,1,2,0,0,1,0,0,1,0,0
chernobyl-NN,4,1,0,1,2,0,0,0,1,1,1
while-NN,7,0,1,3,1,0,1,2,0,1,1
closer-JJR,7,0,1,3,0,1,2,1,0,0,0
ireland-NN,10,1,4,0,4,0,0,0,1,3,2
gulf-PRP,10,0,2,0,5,3,0,0,5,1,1
state-VB,6,0,1,2,0,0,2,0,1,0,0
representative-JJ,47,2,3,9,7,0,30,0,0,1,3
institutions-NNS,56,5,22,13,0,3,9,13,0,0,0
wall-VBP,4,2,2,0,0,0,0,0,0,0,0
ellmann-NN,4,0,4,0,0,0,0,0,0,0,0
chavin-NN,5,0,5,0,0,0,0,0,0,0,0
royex-NN,10,0,10,0,0,0,0,0,0,0,0
gerhard-NN,6,1,1,3,0,0,0,1,0,0,0
comparisons-NNS,7,5,0,0,2,0,0,0,1,1,1
retailing-NN,10,7,3,0,0,0,0,0,0,0,0
cancelled-VBN,7,0,1,0,2,3,0,0,2,2,0
freer-NN,4,0,0,0,0,0,4,0,0,0,0
cancelled-VBD,6,1,0,0,1,4,0,0,0,1,1
specialists-NNS,10,0,7,0,3,0,0,0,0,1,3
courier-NN,41,0,41,0,0,0,0,0,0,0,0
approaches-NNS,4,2,0,0,0,2,0,0,0,0,0
national-JJ,421,34,126,53,47,50,41,53,44,23,22
formal-JJ,43,4,19,7,4,3,10,1,2,0,2
gruppo-VBP,4,0,4,0,1,0,0,0,0,0,1
runs-VBZ,15,0,2,0,0,13,0,0,0,0,0
minneapolis-NNS,9,2,2,0,5,0,0,0,0,1,4
east-VBP,5,0,1,0,0,3,0,0,2,0,0
dis-VBZ,4,0,4,0,0,0,0,0,0,0,0
remain-VBP,29,4,3,9,2,4,9,3,0,0,1
loaded-VBN,5,0,0,0,3,0,0,0,3,2,2
hovis-VBZ,5,0,5,0,0,0,0,0,0,0,0
flag-NN,15,1,2,2,2,2,0,0,10,2,0
come-NN,5,0,1,0,1,1,2,0,1,0,1
fixing-VBG,6,0,0,1,4,0,1,0,4,1,1
frosts-NNS,4,0,0,0,4,0,0,0,0,3,1
public-NN,54,12,26,7,3,2,4,6,0,0,3
duty-NN,26,3,6,0,12,0,4,0,1,2,12
over-JJ,6,1,1,2,0,0,0,3,0,0,0
excluding-VBG,33,16,5,0,2,3,8,0,0,2,1
offshore-NN,33,2,3,4,0,25,0,0,0,0,0
projects-VBZ,6,2,1,0,0,0,3,0,0,0,0
protecting-VBG,7,0,2,0,0,3,1,0,3,0,0
tankers-NNS,37,0,0,0,0,29,6,0,35,0,0
parliamentary-JJ,22,0,1,13,0,2,6,0,3,0,0
indicate-NN,4,0,0,1,2,1,0,1,1,1,1
equally-RB,19,4,9,1,2,2,1,1,0,1,1
opened-VBN,25,4,4,8,2,1,3,6,1,0,2
santana-NNS,7,0,1,0,0,6,0,0,0,0,0
forest-NN,8,2,6,0,0,0,0,0,0,0,0
opened-VBD,46,7,5,21,5,3,7,15,1,2,1
were-NN,4,1,2,0,1,0,0,0,0,1,0
users-NNS,18,1,7,0,4,3,3,0,0,0,4
clauses-NNS,8,0,1,1,5,1,0,0,0,3,2
kaiser-NN,8,0,8,0,0,0,0,0,0,0,0
schweizerische-PRP,4,4,0,0,0,0,0,0,0,0,0
collapse-NN,10,4,1,0,1,2,2,1,2,1,0
responsible-JJ,18,2,4,2,4,2,4,1,1,2,1
came-VBD,77,11,13,19,1,12,12,14,3,0,1
slowing-VBG,12,0,0,8,1,1,4,2,0,1,0
nzi-NN,7,0,7,0,0,0,0,0,0,0,0
failure-VBP,11,0,0,3,0,2,6,1,2,0,0
bankhaus-NN,5,0,5,0,0,0,0,0,0,0,0
intangible-JJ,6,5,1,0,0,0,0,0,0,0,0
pincus-NN,6,0,6,0,0,0,0,0,0,0,0
utilities-NNS,23,15,2,0,0,5,0,1,0,0,0
encouraging-NN,6,1,0,2,0,3,2,1,0,0,0
fit-VB,8,0,5,1,0,0,0,1,1,0,0
bureau-NN,27,1,1,3,10,0,7,5,0,6,4
heard-VBN,7,0,3,2,2,0,1,0,0,0,1
managed-VBN,22,5,9,2,0,6,1,2,0,0,0
comdatas-NNS,4,0,4,0,0,0,0,0,0,0,0
our-PRP$,273,61,64,31,21,49,68,11,18,13,6
next-JJ,348,56,46,67,50,46,64,55,18,28,15
quarters-NNS,44,31,1,5,1,3,3,1,0,0,1
shearsons-NNS,5,0,5,0,0,0,0,0,0,0,0
cme-NN,4,0,0,4,0,0,0,0,0,0,0
redress-NN,6,0,0,4,0,0,4,0,0,0,0
payments-NNS,270,51,25,32,71,24,57,25,14,33,35
carnival-NN,5,0,0,5,0,0,0,5,0,0,0
represents-VBZ,24,10,6,1,1,5,0,1,2,0,0
approach-NN,40,3,4,12,7,3,12,4,0,7,0
pct-JJ,22,6,1,10,1,0,6,0,0,1,0
growth-NN,481,153,28,148,14,36,123,89,1,12,7
firmer-JJ,4,1,0,1,0,1,0,2,0,0,0
ignored-VBN,6,0,0,2,1,0,4,0,0,0,1
swearingen-NN,4,4,0,0,0,0,0,0,0,0,0
cleared-VBN,8,1,3,1,1,0,1,1,0,0,0
gem-NN,4,0,0,0,4,0,0,0,4,0,0
popular-JJ,7,0,0,5,0,0,1,1,1,0,0
bayou-PRP,13,0,13,0,0,4,0,0,0,0,0
homes-NNS,14,1,6,1,4,1,0,1,0,0,0
break-VB,20,5,1,2,4,1,2,6,2,3,1
bias-NN,4,0,0,2,1,0,1,0,0,1,1
appropriate-JJ,33,3,11,12,1,4,3,1,1,0,1
aegean-JJ,30,0,0,0,0,30,0,0,27,0,0
ground-NN,19,4,2,2,3,6,1,2,2,3,0
statement-NN,449,94,189,44,17,68,40,21,14,9,7
qtly-RB,377,377,0,0,0,0,0,0,0,0,0
including-VBG,312,66,104,34,27,39,48,14,18,15,7
comdata-NN,18,0,18,0,0,0,0,0,0,0,0
up-RP,649,76,160,113,67,89,138,45,32,32,29
friendly-RB,5,0,0,0,3,1,1,1,0,0,2
unfair-JJ,54,0,4,1,5,0,43,2,0,1,4
up-RB,83,15,16,7,10,28,5,4,1,6,4
competitors-NNS,16,5,4,2,1,0,2,0,2,1,0
refinery-NN,97,5,14,0,0,94,0,0,2,0,0
planning-VBG,28,3,13,2,6,1,4,0,1,1,4
thirds-NNS,6,1,4,0,0,0,1,0,0,0,0
decrease-VB,12,4,2,2,5,0,0,1,1,1,3
short-JJ,87,13,15,21,11,12,11,12,2,4,6
raising-NN,29,4,7,3,2,3,3,8,0,1,0
heavily-RB,23,3,5,7,1,4,4,2,1,0,0
safety-NN,17,2,4,0,3,1,1,0,6,1,0
burlington-NN,5,0,3,0,2,0,0,0,0,0,0
